"","x"
"482","L Perez-Miranda"
"483","K Kwok"
"484","J McClelland"
"485","R Catramabone"
"486","L Magnani"
"487","I Wachsmuth"
"488","M Frank"
"489","K Gluck"
"490","M Young"
"491","S Forwood"
"492","R Alterman"
"493","A Feinman"
"494","J Introne"
"495","S Landsman"
"496","A Asudeh"
"497","C Walsh"
"498","P Pexman"
"499","S Lupker"
"500","Y Hino"
"501","M Hare"
"502","T Ferretti"
"503","J Elman"
"504","I Zipitria"
"505","J Hale"
"506","P Smolensky"
"507","P Monaghan"
"508","J Wiley"
"509","R Meeks"
"510","J Staszewski"
"511","H Richman"
"512","H Simon"
"513","P Delahanty"
"514","M Vilcu"
"515","R Hadley"
"516","K Sacco"
"517","M Bucciarelli"
"518","M Adenzato"
"519","P Slusarz"
"520","R Sun"
"521","J Bullinaria"
"522","L Bonnar"
"523","M Rabinowitz"
"524","T Hogan"
"525","L Connell"
"526","R Reuter"
"527","J Wiles"
"528","R Schulz"
"529","S Bolland"
"530","B Tonkes"
"531","J Hallinan"
"532","J Weisberg"
"533","J Katz"
"534","K Miwa"
"535","L Mujica-Parodi"
"536","T Greenberg"
"537","R Bilder"
"538","D Malaspina"
"539","C Stilwell"
"540","C Drake"
"541","J Swanson"
"542","L Gudel"
"543","G Newman"
"544","J Behr"
"545","L Rips"
"546","D Hilton"
"547","J Bonnefon"
"548","M Kemmelmeier"
"549","K Thorpe"
"550","P Munro"
"551","T Palmeri"
"552","M Flanery"
"553","J Cheung"
"554","N Kim"
"555","M Oram"
"556","M MacLeod"
"557","M Thomas"
"558","D Mareschal"
"559","A C.Hinds"
"560","S Filipic"
"561","R Jones"
"562","E Fleischman"
"563","M O'Toole"
"564","S Marsella"
"565","J Gratch"
"566","M Johannesson"
"567","R Baker"
"568","A Corebett"
"569","K Koedinger"
"570","M Tamariz"
"571","M Keane"
"572","D Hackett"
"573","J Davenport"
"574","B Schaper"
"575","U Oestermeier"
"576","F Hesse"
"577","P Oudeyer"
"578","H Paterson"
"579","F Pollick"
"580","A Sanford"
"581","A Cangelosi"
"582","D Parisi"
"583","A Borghi"
"584","N Caramelli"
"585","P Slezak"
"586","K Moll"
"587","E Cardillo"
"588","J Utman"
"589","P Bach"
"590","A Friederici"
"591","W Prinz"
"592","M Wolters"
"593","D Beaver"
"594","H Neth"
"595","S Payne"
"596","F Jones"
"597","A Fisher"
"598","J Sougne"
"599","J Barnden"
"600","A Harrison"
"601","A Salah"
"602","E Aplaydin"
"603","L Akarun"
"604","J Brown"
"605","M Lovett"
"606","C Buck-Gengler"
"607","L Menn"
